ID,Start time,Completion time,Email,Name,Last modified time,Participant ID,Cube of Matter (Cube 1):,Cube of Life (Cube 2):,Thought Cube (Cube 3):,Cube of Matter 2(Cube 1):,Cube of Life 2(Cube 2):,Thought Cube 2(Cube 3):,Admiration,Confusion,Haunt,Disorientation,Amazement,Fascination,Amazing,Curiosity,Perplexity,"I felt a closer sense of identity, of who I am.",I felt a psychological connection to everyone/everything around me.,I felt a physical connection to everyone/everything around me.,Everything seemed to be connected.,I experienced a feeling of confinement.,I experienced a feeling of oppression.,I experienced a feeling of tension.,My heart was racing.,It took my breath away.,I felt chills.,I felt physically smaller.,"I felt trivial, in the grand scheme of things.",The world seemed vast.,What did you learn about during your visit?,Is this your first time visiting the Museum of Tomorrow?,"If not, how many times have you visited us previously?","Did you watch the movie Cosmos, projected onto the sphere?",How many people accompanied you on this visit?,Would you like to visit the museum again in the future?,Would you recommend the museum to your friends and family?,Age group,Gender,Which racial group do you identify with?,Do you have any disabilities?,What disability do you have?,Do you have children? ,Where do you live?,Would you like to share something more about your visit or your experience today?
23,2023-09-26 17:42:13,2023-09-26 18:13:11,anonymous,,,D05_015,8.0,8.0,8.0,8.0,8.0,8.0,8,5,6,6,8,8,8,8,8,3,4,4,7,1,1,5,6,5,1,7,1,7,Biodiversidade;Recursos Naturais ;Sustentabilidade;,Não,3 ou mais,Não,2 pessoas,Sim,Sim,19-30 anos,Masculino,Branco,Não,,Não,Cidade do Rio,
24,2023-09-26 18:20:30,2023-09-26 18:24:01,anonymous,,,D01.p0013,7.0,7.0,8.0,8.0,8.0,8.0,7,7,7,7,7,7,7,7,7,6,5,5,6,7,6,6,5,5,5,6,5,7,Sustentabilidade;Recursos Naturais ;,Sim,,Sim,2 pessoas,Sim,Sim,31-59 anos,Masculino,Branco,Não,,Não,Outro Estado do Brasil,
25,2023-09-26 17:56:50,2023-09-26 18:26:51,anonymous,,,D03_p014,5.0,7.0,8.0,6.0,8.0,8.0,8,2,8,1,8,8,7,8,1,7,7,3,7,1,1,1,6,4,7,7,4,7,Diversidade Cultural ;Recursos Naturais ;Biodiversidade;,Sim,,Sim,2 pessoas,Sim,Sim,19-30 anos,Masculino,Branco,Não,,Não,Outro País,"Só vim acompanhar meu marido e não tinha expectativas, mas fiquei muito contente e impressionado. Dá para aprender muito. "
26,2023-09-26 17:53:47,2023-09-26 18:29:46,anonymous,,,D03_p14,5.0,6.0,6.0,5.0,6.0,6.0,8,1,1,1,8,8,1,5,5,7,7,7,7,1,1,1,1,1,1,1,3,7,Sustentabilidade;Biodiversidade;Diversidade Cultural ;Recursos Naturais ;,Não,3 ou mais,Sim,1 pessoa,Sim,Sim,31-59 anos,Feminino,Branco,Não,,Sim,Cidade do Rio,
27,2023-09-26 18:29:53,2023-09-26 18:57:41,anonymous,,,D03_p015,4.0,8.0,8.0,5.0,7.0,7.0,8,1,3,1,4,7,2,8,5,6,7,2,5,1,4,5,1,1,1,1,2,7,Sustentabilidade;Diversidade Cultural ;,Sim,,Sim,3 ou mais pessoas,Sim,Sim,19-30 anos,Masculino,Pardo,Não,,Não,Cidade do Rio,
28,2023-09-26 18:57:52,2023-09-26 19:19:23,anonymous,,,D05_016,8.0,4.0,6.0,6.0,5.0,3.0,8,4,2,2,8,8,4,8,4,4,6,7,7,5,1,2,4,1,1,1,1,7,Diversidade Cultural ;,Sim,,Não,3 ou mais pessoas,Sim,Sim,Até 18 anos,Feminino,Preto,Não,,Não,Cidade do Rio,
29,2023-09-26 18:29:13,2023-09-26 19:27:00,anonymous,,,D01.p0014,7.0,8.0,5.0,6.0,6.0,6.0,7,7,7,7,8,7,7,7,8,3,3,5,7,1,1,1,1,1,1,3,2,7,Biodiversidade;,Sim,,Sim,Nenhuma,Sim,Sim,31-59 anos,Masculino,Preto,Não,,Não,Cidade do Rio,
30,2023-09-26 18:33:53,2023-09-26 19:29:01,anonymous,,,D02.p0016,8.0,8.0,8.0,8.0,8.0,8.0,8,1,4,1,8,8,8,8,1,7,7,7,7,7,1,7,7,1,7,7,7,7,Diversidade Cultural ;Recursos Naturais ;,Sim,,Sim,3 ou mais pessoas,Sim,Sim,31-59 anos,Feminino,Preto,Não,,Não,Cidade do Rio,
31,2023-09-26 19:35:18,2023-09-26 19:43:18,anonymous,,,D05_018,4.0,6.0,8.0,4.0,5.0,8.0,5,2,1,1,6,8,2,7,6,2,4,2,6,5,2,1,3,6,1,1,3,3,Diversidade Cultural ;Recursos Naturais ;,Sim,,Não,1 pessoa,Sim,Sim,Até 18 anos,Feminino,Preto,Não,,Não,Cidade do Rio,
32,2023-09-26 19:36:08,2023-09-26 19:55:23,anonymous,,,D04.P0017,8.0,8.0,1.0,8.0,7.0,2.0,8,5,2,1,8,8,2,4,8,7,7,7,7,2,1,1,1,1,1,7,7,4,Biodiversidade;Diversidade Cultural ;,Sim,,Sim,Nenhuma,Sim,Talvez,19-30 anos,Feminino,Branco,Não,,Não,Outro País,
33,2023-09-26 19:43:28,2023-09-26 19:59:56,anonymous,,,D05_p019,7.0,8.0,8.0,7.0,6.0,8.0,8,1,3,1,8,8,5,8,4,5,6,3,7,1,1,1,6,6,7,2,1,7,Diversidade Cultural ;Recursos Naturais ;Biodiversidade;,Sim,,Sim,1 pessoa,Sim,Sim,Até 18 anos,Feminino,Pardo,Não,,Não,Outro Estado do Brasil,
34,2023-09-26 20:07:59,2023-09-26 20:18:34,anonymous,,,D05_p021,8.0,8.0,8.0,8.0,8.0,8.0,6,1,1,6,6,5,1,8,8,4,1,1,2,2,1,1,1,1,1,5,5,7,Diversidade Cultural ;Biodiversidade;Sustentabilidade;,Sim,,Não,Nenhuma,Sim,Sim,19-30 anos,Feminino,Preto,Não,,Não,Cidade do Rio,
35,2023-09-26 20:13:05,2023-09-26 20:19:23,anonymous,,,D05.p0019,4.0,8.0,8.0,3.0,8.0,8.0,4,1,1,4,8,8,8,8,4,1,3,3,1,5,1,1,4,2,1,5,4,7,Diversidade Cultural ;Biodiversidade;Recursos Naturais ;,Sim,,Não,1 pessoa,Talvez,Talvez,19-30 anos,Masculino,Preto,Não,,Não,Cidade do Rio,
