Start time,ID,Matter Emotions,Life Emotions,Thought Emotions,Matter Learning,Life Learning,Thought Learning,Admiration,Confusion,Haunt,Disorientation,Amazement,Fascination,Amazing,Curiosity,Perplexity,"I felt a closer sense of identity, of who I am.",I felt a psychological connection to everyone/everything around me.,I felt a physical connection to everyone/everything around me.,Everything seemed to be connected.,I experienced a feeling of confinement.,I experienced a feeling of oppression.,I experienced a feeling of tension.,My heart was racing.,It took my breath away.,I felt chills.,I felt physically smaller.,"I felt trivial, in the grand scheme of things.",The world seemed vast.,What did you learn about during your visit?,Is this your first time visiting the Museum of Tomorrow?,"If not, how many times have you visited us previously?","Did you watch the movie Cosmos, projected onto the sphere?",How many people accompanied you on this visit?,Would you like to visit the museum again in the future?,Would you recommend the museum to your friends and family?,Age group,Gender,Race,Do you have any disabilities?,What disability do you have?,Do you have children? ,Where do you live?,Would you like to share something more about your visit or your experience today?,Cubes Emotion Mean,Cubes Learning Mean,Group
2023-09-30 17:05:05,M7,5.0,5.0,5.0,6.0,6.0,6.0,5,4,2,2,5,6,3,6,4,3,6,6,6,4,3,3,2,2,2,2,6,6,Sustentabilidade;Biodiversidade;Recursos Naturais ;,Sim,,Não,1 pessoa,Sim,Sim,19-30 anos,Feminino,Pardo,Não,,Não,Outro Estado do Brasil,,5.0,6.0,Control
2023-09-30 17:08:08,M8,8.0,7.0,7.0,8.0,6.0,6.0,8,1,1,1,8,8,8,8,8,7,7,7,7,3,1,1,1,1,1,4,7,2,Sustentabilidade;,Não,3 ou mais,Sim,3 ou mais pessoas,Sim,Sim,31-59 anos,Masculino,Branco,Não,,Sim,Cidade do Rio,,8.0,8.0,Control
2023-09-30 17:11:23,M9,5.0,8.0,8.0,5.0,6.0,8.0,7,1,1,1,8,7,5,6,5,7,7,6,7,1,1,1,1,1,1,1,1,7,Sustentabilidade;Biodiversidade;Diversidade Cultural ;,Sim,,Sim,2 pessoas,Sim,Sim,31-59 anos,Feminino,Branco,Não,,Não,Cidade do Rio,,5.0,5.0,Control
2023-09-30 17:13:49,M10,6.0,8.0,8.0,6.0,7.0,7.0,7,3,3,2,7,8,3,8,4,5,7,5,7,4,4,4,6,4,4,7,7,7,Diversidade Cultural ;Recursos Naturais ;Biodiversidade;,Sim,,Sim,3 ou mais pessoas,Sim,Sim,31-59 anos,Feminino,Pardo,Não,,Não,Outro Estado do Brasil,"Uma experiência incrível, completa e dinâmica. ",6.0,6.0,Control
2023-09-30 17:20:14,M11,5.0,6.0,7.0,6.0,6.0,8.0,7,6,5,4,8,7,7,7,6,5,5,6,6,5,2,4,3,1,1,4,5,5,Sustentabilidade;Biodiversidade;Diversidade Cultural ;Recursos Naturais ;,Sim,,Sim,3 ou mais pessoas,Sim,Sim,31-59 anos,Feminino,Branco,Não,,Sim,Estado do Rio,,5.0,6.0,Control
2023-09-30 17:23:16,M12,8.0,8.0,8.0,8.0,6.0,6.0,8,5,5,7,8,8,5,7,7,5,6,6,7,7,1,1,5,7,5,7,7,7,Biodiversidade;,Não,3 ou mais,Sim,1 pessoa,Sim,Sim,19-30 anos,Feminino,Preto,Não,,Não,Outro Estado do Brasil,,8.0,8.0,Control
2023-09-30 17:26:40,M13,4.0,4.0,4.0,4.0,5.0,5.0,3,1,1,1,6,6,4,1,4,5,4,4,2,4,5,3,3,3,1,1,4,4,Sustentabilidade;Biodiversidade;Diversidade Cultural ;,Sim,,Sim,1 pessoa,Sim,Sim,31-59 anos,Feminino,Branco,Não,,Sim,Outro País,,4.0,4.0,Control
2023-09-30 17:32:58,M14,8.0,8.0,8.0,8.0,8.0,8.0,8,1,1,4,8,8,8,8,8,4,7,7,7,4,3,2,1,2,1,1,1,1,Diversidade Cultural ;,Sim,,Sim,2 pessoas,Sim,Sim,31-59 anos,Masculino,Pardo,Não,,Não,Outro Estado do Brasil,,8.0,8.0,Control
2023-09-30 16:51:27,D04-P042,4.0,5.0,7.0,5.0,4.0,4.0,4,2,2,1,4,4,4,6,1,5,6,5,7,4,1,1,5,1,1,1,7,7,Sustentabilidade;Biodiversidade;Diversidade Cultural ;Recursos Naturais ;Relações humanas;,Não,1,Não,3 ou mais pessoas,Sim,Sim,31-59 anos,Feminino,Pardo,Não,,Não,Outro Estado do Brasil,,4.0,5.0,Control
2023-09-30 17:41:15,M15,8.0,8.0,8.0,8.0,8.0,8.0,8,5,5,3,8,8,4,8,5,7,5,5,7,1,5,5,3,4,1,5,3,7,Sustentabilidade;Biodiversidade;Diversidade Cultural ;Recursos Naturais ;,Sim,,Sim,Nenhuma,Sim,Sim,31-59 anos,Feminino,Branco,Não,,Não,Outro Estado do Brasil,,8.0,8.0,Control
